index,id,titulo,titulo_nombre,capitulo,capitulo_nombre,articulo,texto
legalIA_constitucion_co_1991,LIA-CP-1991-01000001,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 1,"Artículo 1. Colombia es un Estado social de derecho, organizado en forma de República unitaria, descentralizada, con autonomía de sus entidades territoriales, democrática, participativa y pluralista, fundada en el respeto de la dignidad humana, en el trabajo y la solidaridad de las personas que la integran y en la prevalencia del interés general."
legalIA_constitucion_co_1991,LIA-CP-1991-01000002,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 2,"Artículo 2. Son fines esenciales del Estado: servir a la comunidad, promover la prosperidad general y garantizar la efectividad de los principios, derechos y deberes consagrados en la Constitución; facilitar la participación de todos en las decisiones que los afectan y en la vida económica, política, administrativa y cultural de la Nación; defender la independencia nacional, mantener la integridad territorial y asegurar la convivencia pacifica y la vigencia de un orden justo. Las autoridades de la República están instituidas para proteger a todas las personas residentes en Colombia, en su vida, honra, bienes, creencias, y demás derechos y libertades, y para asegurar el cumplimiento de los deberes sociales del Estado y de los particulares."
legalIA_constitucion_co_1991,LIA-CP-1991-01000003,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 3,"Artículo 3. La soberanía reside exclusivamente en el pueblo, del cual emana el poder público. El pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la Constitución establece."
legalIA_constitucion_co_1991,LIA-CP-1991-01000004,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 4,"Artículo 4. La Constitución es norma de normas. En todo caso de incompatibilidad entre la Constitución y la ley u otra norma jurídica, se aplicarán las disposiciones constitucionales. Es deber de los nacionales y de los extranjeros en Colombia acatar la Constitución y las leyes, y respetar y obedecer a las autoridades."
legalIA_constitucion_co_1991,LIA-CP-1991-01000005,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 5,"Artículo 5. El Estado reconoce, sin discriminación alguna, la primacía de los derechos inalienables de la persona y ampara a la familia como institución básica de la sociedad."
legalIA_constitucion_co_1991,LIA-CP-1991-01000006,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 6,Artículo 6. Los particulares sólo son responsables ante las autoridades por infringir la Constitución y las leyes. Los servidores públicos lo son por la misma causa y por omisión o extralimitación en el ejercicio de sus funciones.
legalIA_constitucion_co_1991,LIA-CP-1991-01000007,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 7,Artículo 7. El Estado reconoce y protege la diversidad étnica y cultural de la Nación colombiana.
legalIA_constitucion_co_1991,LIA-CP-1991-01000008,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 8,Artículo 8. Es obligación del Estado y de las personas proteger las riquezas culturales y naturales de la Nación.
legalIA_constitucion_co_1991,LIA-CP-1991-01000009,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 9,"Artículo 9. Las relaciones exteriores del Estado se fundamentan en la soberanía nacional, en el respeto a la autodeterminación de los pueblos y en el reconocimiento de los principios del derecho internacional aceptados por Colombia. De igual manera, la política exterior de Colombia se orientará hacia la integración latinoamericana y del Caribe."
legalIA_constitucion_co_1991,LIA-CP-1991-01000010,TITULO I,DE LOS PRINCIPIOS FUNDAMENTALES,,,Artículo 10,Artículo 10. El castellano es el idioma oficial de Colombia. Las lenguas y dialectos de los grupos étnicos son también oficiales en sus territorios. La enseñanza que se imparta en las comunidades con tradiciones lingüísticas propias será bilingüe.
legalIA_constitucion_co_1991,LIA-CP-1991-02001001,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 11,Artículo 11. El derecho a la vida es inviolable. No habrá pena de muerte.
legalIA_constitucion_co_1991,LIA-CP-1991-02001002,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 12,"Artículo 12. Nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes."
legalIA_constitucion_co_1991,LIA-CP-1991-02001003,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 13,"Artículo 13. Todas las personas nacen libres e iguales ante la ley, recibirán la misma protección y trato de las autoridades y gozarán de los mismos derechos, libertades y oportunidades sin ninguna discriminación por razones de sexo, raza, origen nacional o familiar, lengua, religión, opinión política o filosófica. El Estado promoverá las condiciones para que la igualdad sea real y efectiva y adoptara medidas en favor de grupos discriminados o marginados. El Estado protegerá especialmente a aquellas personas que por su condición económica, física o mental, se encuentren en circunstancia de debilidad manifiesta y sancionará los abusos o maltratos que contra ellas se cometan."
legalIA_constitucion_co_1991,LIA-CP-1991-02001004,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 14,Artículo 14. Toda persona tiene derecho al reconocimiento de su personalidad jurídica.
legalIA_constitucion_co_1991,LIA-CP-1991-02001005,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 15,"Artículo 15. Todas las personas tienen derecho a su intimidad personal y familiar y a su buen nombre, y el Estado debe respetarlos y hacerlos respetar. De igual modo, tienen derecho a conocer, actualizar y rectificar las informaciones que se hayan recogido sobre ellas en bancos de datos y en archivos de entidades públicas y privadas. En la recolección, tratamiento y circulación de datos se respetarán la libertad y demás garantías consagradas en la Constitución. La correspondencia y demás formas de comunicación privada son inviolables. Sólo pueden ser interceptadas o registradas mediante orden judicial, en los casos y con las formalidades que establezca la ley. Para efectos tributarios o judiciales y para los casos de inspección, vigilancia e intervención del Estado podrá exigirse la presentación de libros de contabilidad y demás documentos privados, en los términos que señale la ley."
legalIA_constitucion_co_1991,LIA-CP-1991-02001006,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 16,Artículo 16. Todas las personas tienen derecho al libre desarrollo de su personalidad sin más limitaciones que las que imponen los derechos de los demás y el orden jurídico.
legalIA_constitucion_co_1991,LIA-CP-1991-02001007,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 17,"Artículo 17. Se prohiben la esclavitud, la servidumbre y la trata de seres humanos en todas sus formas."
legalIA_constitucion_co_1991,LIA-CP-1991-02001008,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 18,Artículo 18. Se garantiza la libertad de conciencia. Nadie será molestado por razón de sus convicciones o creencias ni compelido a revelarlas ni obligado a actuar contra su conciencia.
legalIA_constitucion_co_1991,LIA-CP-1991-02001009,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 19,Artículo 19. Se garantiza la libertad de cultos. Toda persona tiene derecho a profesar libremente su religión y a difundirla en forma individual o colectiva. Todas las confesiones religiosas e iglesias son igualmente libres ante la ley.
legalIA_constitucion_co_1991,LIA-CP-1991-02001010,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 20,"Artículo 20. Se garantiza a toda persona la libertad de expresar y difundir su pensamiento y opiniones, la de informar y recibir información veraz e imparcial, y la de fundar medios masivos de comunicación. Estos son libres y tienen responsabilidad social. Se garantiza el derecho a la rectificación en condiciones de equidad. No habrá censura."
legalIA_constitucion_co_1991,LIA-CP-1991-02001011,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 21,Artículo 21. Se garantiza el derecho a la honra. La ley señalará la forma de su protección.
legalIA_constitucion_co_1991,LIA-CP-1991-02001012,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 22,Artículo 22. La paz es un derecho y un deber de obligatorio cumplimiento.
legalIA_constitucion_co_1991,LIA-CP-1991-02001013,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 23,Artículo 23. Toda persona tiene derecho a presentar peticiones respetuosas a las autoridades por motivos de interés general o particular y a obtener pronta resolución. El legislador podrá reglamentar su ejercicio ante organizaciones privadas para garantizar los derechos fundamentales.
legalIA_constitucion_co_1991,LIA-CP-1991-02001014,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 24,"Artículo 24. Todo colombiano, con las limitaciones que establezca la ley, tiene derecho a circular libremente por el territorio nacional, a entrar y salir de él, y a permanecer y residenciarse en Colombia."
legalIA_constitucion_co_1991,LIA-CP-1991-02001015,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 25,"Artículo 25. El trabajo es un derecho y una obligación social y goza, en todas sus modalidades, de la especial protección del Estado. Toda persona tiene derecho a un trabajo en condiciones dignas y justas."
legalIA_constitucion_co_1991,LIA-CP-1991-02001016,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 26,"Artículo 26. Toda persona es libre de escoger profesión u oficio. La ley podrá exigir títulos de idoneidad. Las autoridades competentes inspeccionaran y vigilaran el ejercicio de las profesiones. Las ocupaciones, artes y oficios que no exijan formación académica son de libre ejercicio, salvo aquellas que impliquen un riesgo social. Las profesiones legalmente reconocidas pueden organizarse en colegios. La estructura interna y el funcionamiento de estos deberán ser democráticos. La ley podrá asignarles funciones públicas y establecer los debidos controles."
legalIA_constitucion_co_1991,LIA-CP-1991-02001017,TITULO II,"DE LOS DERECHOS, LAS GARANTIAS Y LOS DEBERES",CAPITULO 1,DE LOS DERECHOS FUNDAMENTALES,Artículo 27,"Artículo 27. El Estado garantiza las libertades de enseñanza, aprendizaje, investigación y cátedra."
